Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
92,31133,species,Pink-throated Twinspot,Hypargos margaritatus,2,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189446532,,1
93,22332,species,Rufous-naped Lark,Corypha africana,3,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189446532,,1
95,8020,species,Lizard Buzzard,Kaupifalco monogrammicus,1,Tembe Elephant Park,ZA-NL,29 Jul 2024,L1756570,S189446532,,1
96,28658,species,Southern Black-Flycatcher,Melaenornis pammelaina,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
97,27699,species,Black-bellied Starling,Notopholia corusca,30,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
98,23778,species,Black Sawwing,Psalidoprocne pristoptera,2,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
99,20186,species,Square-tailed Drongo,Dicrurus ludwigii,3,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
100,9602,species,Trumpeter Hornbill,Bycanistes bucinator,4,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
101,9556,species,Crowned Hornbill,Lophoceros alboterminatus,3,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
102,7903,species,Crowned Eagle,Stephanoaetus coronatus,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
103,5815,species,Wattled Lapwing,Vanellus senegallus,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
104,2943,species,Purple-crested Turaco,Gallirex porphyreolophus,4,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
105,2916,species,Black-bellied Bustard,Lissotis melanogaster,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
106,2117,species,Tambourine Dove,Turtur tympanistria,2,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
107,252,species,White-backed Duck,Thalassornis leuconotus,8,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309494,,1
108,32127,species,Lemon-breasted Seedeater,Crithagra citrinipectus,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309353,,1
